Node,Mapping,Goldlabel,Predict,L1 confidence,L2confidence
N1280,pArAvarya->parAvara,-,L2,0.073,0.08600000000000001
N1283,kAtarya->kAtara,-,L2,0.074,0.077
N1282,kupaTya->kupaTa,-,L1,0.075,0.068
N1003,BAzya->BAza,-,L2,0.074,0.08
N879,kESya->keSa,-,L2,0.075,0.08600000000000001
N1289,ramaRya->ramaRA,-,L1,0.074,0.066
N1288,ramaRya->ramaRa,-,L1,0.075,0.069
N514,trElokya->trilokI,L2,L2,0.068,0.08
N1579,Sizya->Siz,-,L1,0.065,0.051000000000000004
N1578,tAdarTya->tadarTa,-,L2,0.068,0.081
N689,lOkya->lok,L1,L2,0.065,0.078
N688,pAlaNkya->pAlaNkI,-,L2,0.07200000000000001,0.076
N685,pAlaNkya->pAlaMka,L2,L2,0.073,0.076
N684,vEkalya->vikalA,-,L2,0.07100000000000001,0.084
N687,pAlaNkya->palaNka,-,L2,0.07200000000000001,0.085
N686,pAlaNkya->pAlaNka,-,L2,0.07200000000000001,0.076
N681,vIrya->vIr,L2,L1,0.067,0.054
N680,vIrya->vIra,L1,L1,0.07200000000000001,0.067
N683,vEkalya->vikala,L2,L2,0.07100000000000001,0.083
N682,vIrya->vIrA,-,L1,0.065,0.054
N458,asUya->asU,-,L1,0.073,0.067
N1226,Acarya->acara,-,L2,0.069,0.081
N621,puzwya->puzwa,-,L1,0.075,0.073
N873,Adya->AdA,-,L2,0.063,0.065
N1224,vEkftya->vikfta,L2,L2,0.075,0.08600000000000001
N1223,vIjya->vIja,L2,L2,0.075,0.076
N1222,vEDarmya->viDarma,L2,L2,0.074,0.085
N2741,amfzya->amfzA,-,L1,0.073,0.065
N1221,prASya->praS,-,L2,0.074,0.088
N2740,anuBaya->anuBa,-,L1,0.073,0.066
N1220,prASya->prAS,-,L2,0.066,0.068
N2743,APalya->aPalA,-,L2,0.07100000000000001,0.084
N407,ihatya->iha,L2,L2,0.075,0.078
N406,SORqIrya->SORqIra,L2,L2,0.076,0.083
N405,prAdakziRya->pradakziRa,L2,L2,0.076,0.08700000000000001
N404,SOklya->SuklI,-,L2,0.065,0.079
N403,SOklya->SuklA,-,L2,0.066,0.079
N402,SOklya->SOkla,-,L2,0.076,0.083
N401,SOklya->Sukla,L2,L2,0.076,0.08700000000000001
N400,jAtUkarRya->jatUkarRa,-,L2,0.077,0.092
N1379,urasya->urasa,-,L1,0.07200000000000001,0.062
N1378,urasya->uras,L2,L1,0.07100000000000001,0.065
N1342,pAtitya->pAti,-,L2,0.063,0.066
N409,sOKya->suKa,L1,L2,0.076,0.08700000000000001
N408,supAkya->supAka,-,L2,0.078,0.078
N453,sAdfSya->sAdfSa,-,L2,0.07100000000000001,0.07200000000000001
N2747,brAhmya->brahma,-,L2,0.07100000000000001,0.085
N454,sAdfSya->sadfS,-,L2,0.069,0.081
N2148,apajya->apaji,-,L1,0.076,0.076
N455,vanDya->vanDA,-,L1,0.07,0.061
N2749,brAhmya->brAhmi,-,L2,0.064,0.066
N1346,saBAjya->saBAj,-,L1,0.077,0.077
N2748,brAhmya->brahmA,-,L2,0.068,0.081
N1347,vEyarTya->vyarTa,L2,L2,0.076,0.078
N379,tArkzya->tfkza,L2,L2,0.075,0.08700000000000001
N378,puzkarAhvaya->puzkarAhva,-,L2,0.078,0.078
N371,cetasya->cetas,-,L2,0.077,0.078
N370,pAlakya->palaka,-,L2,0.076,0.091
N373,avasAya->avasA,-,L2,0.077,0.078
N372,cAturvarRya->caturvarRa,-,L2,0.076,0.091
N375,gorakzya->gorakzA,-,L2,0.077,0.078
N374,gorakzya->gorakza,-,L2,0.077,0.078
N377,gorakzya->gorakz,-,L2,0.077,0.078
N376,gorakzya->gorakzI,-,L2,0.077,0.078
N2295,Ogrya->ugra,L2,L2,0.073,0.083
N3093,brahmajya->brahmajA,-,L1,0.07100000000000001,0.062
N393,vEduzya->vidvas,L2,L2,0.076,0.08700000000000001
N392,atapasya->atapas,-,L2,0.077,0.079
N391,vAkya->vAk,-,L2,0.066,0.067
N390,vAkya->vakI,-,L2,0.075,0.091
N397,vEduzya->viduzI,-,L2,0.065,0.081
N396,vEduzya->vEduzI,-,L2,0.066,0.069
N395,vEduzya->viduzA,-,L2,0.065,0.082
N394,vEduzya->vEduza,-,L2,0.076,0.083
N399,jAtUkarRya->jAtUkarRa,-,L2,0.076,0.083
N398,vEduzya->viduz,-,L2,0.064,0.08
N895,mADyasTya->mADyasTa,-,L2,0.076,0.081
N2309,buDya->buD,-,L1,0.066,0.052000000000000005
N2308,buDya->buDa,-,L1,0.074,0.07100000000000001
N2301,pARqitya->pARqi,-,L2,0.063,0.065
N2300,pARqitya->paMqita,L2,L2,0.074,0.085
N2303,Ganodaya->Ganoda,-,L1,0.075,0.07100000000000001
N2302,atyaya->atya,-,L1,0.074,0.07
N2305,yajYayogya->yajYayoga,-,L1,0.075,0.07
N2304,Asekya->Aseka,-,L2,0.075,0.079
N2307,pfzWya->pfzWa,L2,L1,0.074,0.07200000000000001
N2306,nirASaya->nirASa,-,L2,0.077,0.079
N2746,brAhmya->brAhma,-,L2,0.07200000000000001,0.076
N245,nAsya->nasi,-,L2,0.076,0.088
N244,nAsya->nasA,-,L2,0.076,0.088
N247,saBakzya->saBakza,-,L2,0.077,0.078
N246,stomya->stoma,L2,L2,0.076,0.079
N241,nAsya->nas,-,L1,0.34700000000000003,0.065
N240,avyaBicArya->avyaBicAra,-,L2,0.077,0.078
N243,nAsya->nasa,-,L2,0.076,0.088
N242,nAsya->nAsA,L2,L2,0.068,0.07100000000000001
N249,dantya->dan,-,L2,0.076,0.077
N248,dantya->danta,L2,L2,0.075,0.079
N2275,ambazWAdya->ambazWAdi,-,L1,0.07200000000000001,0.066
N2274,pORqarya->puRqara,-,L2,0.073,0.084
N2277,tIrTya->tIrTa,-,L1,0.07200000000000001,0.066
N2276,devatya->deva,-,L2,0.076,0.079
N2271,pENgalya->piNgala,-,L2,0.07100000000000001,0.084
N2270,pENgalya->pENgala,-,L2,0.07200000000000001,0.075
N2273,pENgalya->piNgalI,-,L2,0.07100000000000001,0.084
N2272,pENgalya->piNgalA,-,L2,0.07100000000000001,0.084
N2279,avedya->aveda,-,L1,0.07200000000000001,0.065
N2278,tIrTya->tIrTI,-,L1,0.065,0.054
N2337,kulya->kulA,-,L1,0.067,0.055
N2198,cAturya->catura,-,L2,0.077,0.092
N2459,nakulAnDya->nakulAnDa,-,L1,0.077,0.076
N2458,AhArya->ahAra,-,L2,0.076,0.089
N2455,Sasya->SasA,-,L1,0.077,0.076
N2454,Sasya->Sasa,-,L1,0.076,0.074
N2457,AhArya->AhAra,-,L2,0.076,0.082
N2456,Sasya->Sasi,-,L1,0.077,0.076
N2451,sOmaNgalya->sumaNgala,-,L2,0.077,0.08700000000000001
N2450,sOmaNgalya->sOmaNgala,-,L2,0.076,0.081
N2453,Sasya->Sas,-,L1,0.41000000000000003,0.058
N2452,sOmaNgalya->sumaNgalA,-,L2,0.077,0.088
N179,pOzya->puzA,-,L2,0.063,0.078
N178,pOzya->poza,-,L2,0.073,0.08600000000000001
N177,pOzya->puza,-,L2,0.075,0.08700000000000001
N176,pOzya->pOza,-,L2,0.075,0.083
N175,Urvya->Urv,-,L1,0.068,0.058
N174,Urvya->UrvI,-,L1,0.067,0.058
N173,Urvya->Urva,-,L2,0.076,0.078
N172,sAtmya->sAtmI,-,L2,0.067,0.07100000000000001
N171,sAtmya->sAtma,-,L2,0.076,0.083
N170,akaTya->akaTa,-,L2,0.077,0.077
N2051,svargya->svargi,-,L1,0.075,0.074
N1502,vyApya->vyap,-,L2,0.076,0.092
N2053,samUhya->samUha,-,L1,0.076,0.07100000000000001
N2052,svargya->svargI,-,L1,0.075,0.074
N2055,samUhya->samUh,-,L1,0.073,0.066
N2054,samUhya->samUhA,-,L1,0.074,0.066
N2057,mAnuzya->manuza,-,L2,0.07200000000000001,0.083
N1503,ugravIrya->ugravIra,-,L1,0.077,0.076
N2059,mAnuzya->manuzI,-,L2,0.07200000000000001,0.083
N2058,mAnuzya->mAnuzI,-,L2,0.065,0.066
N1500,vyApya->vyApi,-,L2,0.063,0.067
N1501,vyApya->vyAp,-,L2,0.065,0.066
N1506,dOrganDya->dOrganDa,-,L2,0.076,0.082
N2968,malaya->mala,-,L2,0.076,0.08
N1507,dOrganDya->durganDA,-,L2,0.075,0.088
N1367,yogya->yogA,-,L1,0.064,0.052000000000000005
N1504,yaTAtaTya->yaTAtaTa,-,L2,0.077,0.077
N1505,dOrganDya->durganDa,L2,L2,0.076,0.08700000000000001
N2157,upasarya->upa_sf,L2,L2,0.077,0.077
N3087,apIqya->apIqA,-,L1,0.07100000000000001,0.061
N1227,Acarya->Acar,-,L2,0.07,0.07100000000000001
N3086,cEtraraTya->cEtraraTi,-,L2,0.069,0.07
N1977,AraRya->AraRi,-,L2,0.076,0.084
N3083,cEtraraTya->cEtraraTa,-,L2,0.069,0.07
N2699,akampya->akampa,-,L1,0.07100000000000001,0.06
N1976,AraRya->araRa,-,L2,0.077,0.091
N2697,asatkArya->asatkAra,-,L1,0.078,0.074
N2696,nEzWurya->nizWura,-,L2,0.052000000000000005,0.429
N2695,OkTya->ukTa,-,L2,0.076,0.08700000000000001
N659,Durya->Dura,-,L2,0.076,0.077
N2693,pratyAmnAya->pratyAmnA,-,L1,0.076,0.075
N1975,AraRya->AraRa,-,L2,0.074,0.077
N2691,parakya->paraka,-,L1,0.077,0.075
N2690,dOrjIvitya->durjIvita,-,L2,0.052000000000000005,0.419
N2405,DUpya->DUpi,-,L1,0.063,0.052000000000000005
N1974,pEllya->pilla,-,L2,0.075,0.091
N1973,pEllya->pElla,-,L2,0.073,0.077
N1972,dAkzya->dakz,-,L2,0.075,0.08600000000000001
N1971,dAkzya->dakzi,-,L2,0.07200000000000001,0.085
N1970,dAkzya->dAkzi,-,L2,0.063,0.065
N1968,dAkzya->dAkza,-,L2,0.073,0.077
N1969,dAkzya->dakzA,-,L2,0.07200000000000001,0.085
N1618,tfRya->tfR,L2,L1,0.065,0.052000000000000005
N1619,AmAvasya->amAvasI,-,L2,0.074,0.08600000000000001
N1616,Bedya->Beda,-,L1,0.073,0.069
N1617,Bedya->BedI,-,L1,0.063,0.053
N1614,vErasya->virasa,-,L2,0.073,0.08600000000000001
N1615,vErasya->viras,-,L2,0.073,0.085
N1612,kzemya->kzemA,-,L1,0.064,0.053
N1613,vErasya->vErasa,-,L2,0.074,0.077
N1610,vApya->vApI,-,L2,0.063,0.064
N1611,kzemya->kzema,-,L1,0.073,0.069
N1985,nABya->naBi,-,L2,0.075,0.091
N2873,SoDya->SuD,-,L2,0.002,0.966
N2872,ananumAnya->ananumAna,-,L1,0.07200000000000001,0.065
N2871,SEbya->SEba,-,L2,0.074,0.079
N2870,SEbya->Sibi,-,L2,0.003,0.9490000000000001
N2877,aharniSya->aharniSa,-,L1,0.075,0.07
N2876,mOrya->murA,-,L2,0.013000000000000001,0.844
N2875,apESunya->apESuna,-,L1,0.075,0.069
N2542,kOSalya->kuSalI,-,L2,0.075,0.088
N2879,aloBya->aloBa,-,L1,0.076,0.07200000000000001
N2878,anaByupagamya->anaByupagama,-,L2,0.077,0.078
N2544,martya->marta,L2,L1,0.075,0.074
N1768,cORwya->cuRwI,-,L2,0.062,0.077
N1769,cORwya->cuRw,-,L2,0.064,0.079
N1762,sOrasya->surasa,-,L2,0.077,0.091
N1763,sOrasya->surasA,-,L2,0.077,0.091
N1760,kArya->karI,-,L2,0.076,0.09
N1761,sOrasya->sOrasa,-,L2,0.076,0.083
N1766,vAnaprasTya->vanaprasTa,-,L2,0.077,0.088
N1767,cORwya->cuRwA,-,L2,0.063,0.077
N1764,sOrasya->surasI,-,L2,0.077,0.091
N1765,vAnaprasTya->vAnaprasTa,-,L2,0.076,0.081
N1142,sOrya->sUr,-,L2,0.07,0.082
N1143,prAtastya->prAtar,L2,L2,0.068,0.07100000000000001
N1140,sOrya->sOrI,-,L2,0.064,0.066
N1141,sOrya->sUrI,-,L2,0.069,0.081
N1146,EkADikaraRya->ekADikaraRa,L2,L2,0.076,0.088
N1147,Danuzya->Danuza,-,L2,0.077,0.078
N1144,vilaya->vila,-,L2,0.076,0.078
N1145,aBogya->aBoga,-,L2,0.076,0.077
N1148,Danuzya->Danuz,-,L2,0.076,0.079
N1149,sTOlalakzya->sTUlalakza,-,L2,0.077,0.088
N2967,mAhizya->mahizI,-,L2,0.07200000000000001,0.08600000000000001
N2966,mAhizya->mahizi,-,L2,0.07200000000000001,0.085
N2402,DAyya->DAya,-,L2,0.069,0.07100000000000001
N692,vEcitrya->vicitra,L2,L2,0.073,0.084
N693,vEcitrya->vEcitra,-,L2,0.073,0.077
N690,lOkya->loka,-,L2,0.074,0.085
N691,lOkya->luk,-,L2,0.064,0.079
N696,cAYcalya->caYcalA,-,L2,0.069,0.081
N697,svArAjya->svarAja,L2,L2,0.07,0.081
N694,vEcitrya->vicitrA,-,L2,0.065,0.08
N695,cAYcalya->caYcala,-,L2,0.069,0.081
N698,svArAjya->svArAj,-,L2,0.064,0.067
N699,svArAjya->svarAj,-,L2,0.075,0.085
N1548,Odarya->Odara,-,L2,0.076,0.082
N1549,Odarya->udara,-,L2,0.076,0.089
N542,avyaTya->avyaTi,-,L2,0.076,0.078
N543,Agastya->Agas,-,L2,0.076,0.083
N540,avyaTya->avyaTa,-,L2,0.076,0.077
N541,avyaTya->avyaTA,-,L2,0.076,0.077
N546,sArvavEdya->sarvaveda,L2,L2,0.07,0.081
N547,asahya->asaha,-,L1,0.07100000000000001,0.061
N544,anilaya->anila,-,L2,0.077,0.078
N545,prAkawaya->prakawa,L2,L2,0.078,0.091
N548,Apatya->Apa,-,L2,0.074,0.076
N549,naktAnDya->naktAnDa,-,L1,0.07,0.06
N1782,medya->med,L2,L1,0.066,0.054
N1783,medya->meda,-,L1,0.076,0.074
N1784,medya->medA,-,L1,0.065,0.055
N1785,abrahmaRya->brahman,L2,L2,0.077,0.08
N1786,vaDya->vaDamarhati,L2,L2,0.076,0.079
N2388,mARikya->maRika,-,L2,0.076,0.089
N1787,vaDya->vaDa,-,L2,0.076,0.077
N414,sOKya->suKI,-,L2,0.067,0.08
N415,sOKya->suK,-,L2,0.068,0.081
N416,nEScitya->niScita,L2,L2,0.075,0.08700000000000001
N417,prAtilomya->pratiloma,L2,L2,0.076,0.08700000000000001
N410,sOKya->sOKa,-,L2,0.076,0.083
N411,sOKya->soKa,-,L2,0.076,0.091
N412,sOKya->suKA,-,L2,0.067,0.08
N413,sOKya->suKi,-,L2,0.066,0.08
N1384,vEriYcya->viriYci,-,L2,0.066,0.08
N1385,suhfdya->suhfda,-,L1,0.077,0.074
N1386,suhfdya->suhfd,-,L1,0.068,0.06
N1387,durBedya->durBeda,-,L1,0.073,0.067
N418,prajApAlya->prajApAla,-,L2,0.077,0.078
N419,prajApAlya->prajApAli,-,L2,0.077,0.078
N1382,vEriYcya->vEriYca,-,L2,0.07200000000000001,0.076
N1383,vEriYcya->viriYca,-,L2,0.076,0.08600000000000001
N2446,sOSIlya->suSIla,L2,L2,0.076,0.08600000000000001
N2438,rAjya->rAja,-,L2,0.075,0.083
N3042,pAcya->paca,-,L2,0.073,0.084
N368,pAratrya->paratra,-,L2,0.076,0.092
N369,pAlakya->pAlaka,-,L2,0.076,0.083
N366,sAKya->saKi,L2,L2,0.076,0.08700000000000001
N367,pAratrya->pAratra,-,L2,0.076,0.083
N364,samAlya->samAlI,-,L2,0.077,0.078
N365,anOpamya->anOpama,-,L2,0.077,0.078
N362,vinDya->vinD,-,L1,0.066,0.055
N363,prAmAdya->pramAda,L2,L2,0.076,0.088
N360,aprasAdya->aprasAda,-,L2,0.078,0.078
N361,vinDya->vinDa,-,L2,0.076,0.079
N2760,sAkzya->sAkzi,-,L2,0.068,0.07100000000000001
N380,tArkzya->tArkza,-,L2,0.076,0.083
N381,tArkzya->tArkzI,-,L2,0.067,0.069
N382,rEBya->reB,L1,L1,0.804,0.017
N383,rEBya->rEBa,-,L2,0.075,0.083
N384,rEBya->reBa,-,L2,0.075,0.091
N385,rEBya->riB,-,L2,0.066,0.081
N386,akaRWya->akaRWa,-,L2,0.077,0.077
N387,anASvAsya->anASvAsa,-,L2,0.077,0.078
N388,vAkya->vAka,-,L2,0.075,0.083
N389,vAkya->vaka,-,L2,0.075,0.091
N2792,parihArya->parihAra,-,L2,0.077,0.079
N2190,sOmya->somA,-,L2,0.068,0.08
N2191,sOmya->sOmI,-,L2,0.064,0.065
N258,nAdya->nadi,-,L2,0.075,0.088
N259,nAdya->nadI,-,L2,0.075,0.088
N2194,atikalya->atikala,-,L2,0.077,0.078
N2195,surAlaya->surAla,-,L2,0.078,0.079
N2196,pOMScalya->puMScalI,L2,L2,0.076,0.088
N2197,cAturya->cAtura,-,L2,0.076,0.084
N252,bIjAhvaya->bIjAhva,-,L2,0.077,0.077
N253,Anaya->Ana,-,L2,0.075,0.082
N250,sPya->sPA,-,L1,0.069,0.061
