Node(Unlabel),GoldLabel,Predicted,L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N2610,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2590,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2205,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N1715,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1308,L2,L1,49186.0,192008.375,52,150,125148,486044,0,0
N340,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N433,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N344,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N973,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2050,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2504,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2506,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N503,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2291,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2295,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2297,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2113,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2110,L2,L2,49186.25,192008.375,52,150,125148,486044,0,0
N235,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N231,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N482,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2544,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1875,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N339,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N485,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N720,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N330,L1,L1,53567.0,345113.625,55,365,135913,780400,0,0
N724,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2371,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1223,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1405,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N1407,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N786,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N2471,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N1722,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1582,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N654,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N658,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N1474,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1297,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N1292,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1350,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N913,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1618,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N1122,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N579,L1,L1,49183.5,191990.875,51,151,125149,486043,0,0
N2255,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2158,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2157,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2155,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2259,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1724,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1052,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2392,L2,L2,83895.25,439866.0,98,474,197968,960626,0,0
N1194,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1729,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1728,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N379,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2530,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N191,L2,L2,83895.0,439865.75,98,474,197968,960626,0,0
N1830,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N751,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N759,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N617,L1,L2,53567.0,345113.625,55,365,135913,780400,0,0
N615,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1431,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1539,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N817,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1530,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1438,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N680,L1,L2,49185.5,192007.125,51,151,125149,486043,0,0
N681,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N2446,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2329,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N689,L1,L2,53567.0,345113.625,55,365,135913,780400,0,0
N2321,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N106,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1792,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1224,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N10,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N11,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1222,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1388,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1171,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N1228,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1381,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N864,L2,L2,49184.0,191992.375,52,150,125148,486044,0,0
N865,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1894,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1898,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1009,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2588,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2580,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2584,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2587,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N316,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1312,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1645,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N409,L1,L2,53568.25,345135.375,55,365,135913,780400,0,0
N401,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N406,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N407,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N405,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1498,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2105,L2,L2,83895.25,439866.0,98,474,197968,960626,0,0
N2065,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2061,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2395,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N539,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N242,L2,L2,83897.625,439887.25,98,474,197968,960626,0,0
N713,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N246,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N711,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N248,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N718,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N328,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N495,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N324,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N321,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2363,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2367,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N911,L2,L2,49186.25,192008.375,52,150,125148,486044,0,0
N2550,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2566,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N416,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N2561,L2,L2,49184.0,191992.375,52,150,125148,486044,0,0
N1593,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1594,L2,L2,49186.0,192008.375,52,150,125148,486044,0,0
N663,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N149,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N665,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N143,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1313,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1269,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1505,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1919,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N54,L2,L2,53569.0,345140.625,56,364,135912,780401,0,0
N1264,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1267,L2,L2,49183.75,191992.375,52,150,125148,486044,0,0
N983,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1469,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1466,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1462,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N825,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N1286,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1328,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1320,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1322,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1327,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1786,L2,L2,49183.75,191992.375,52,150,125148,486044,0,0
N1602,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1033,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1130,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2220,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N2225,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2227,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2226,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1041,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1735,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1730,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N1048,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N771,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N363,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N366,L2,L2,53568.75,345140.125,56,364,135912,780401,0,0
N417,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N590,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N894,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N896,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1689,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2038,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N564,L1,L2,49183.5,191990.875,51,151,125149,486043,0,0
N2529,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N561,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N563,L1,L2,49185.5,192007.125,51,151,125149,486043,0,0
N449,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2134,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N442,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N2527,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2133,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1151,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N187,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N186,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1951,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N744,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N741,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1561,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N1424,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1811,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1810,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N692,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N697,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2350,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N138,L2,L2,53569.0,345140.625,56,364,135912,780401,0,0
N1251,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1257,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1256,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1394,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N1491,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1556,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1881,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1551,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1376,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1373,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1071,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1072,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1378,L2,L1,49186.0,192006.625,52,150,125148,486044,0,0
N1084,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1085,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1082,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1089,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1672,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1770,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1100,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N554,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N556,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1109,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2482,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2172,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2179,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2077,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N528,L1,L2,53567.0,345113.625,55,365,135913,780400,0,0
N1173,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1177,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N701,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N700,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2094,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N705,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N496,L1,L2,53567.0,345113.625,55,365,135913,780400,0,0
N2098,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N318,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1853,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1852,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2399,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2398,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N907,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N904,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N902,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2393,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N900,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N2552,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2551,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2419,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2008,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1713,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N792,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N679,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1687,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1685,L2,L2,83897.625,439887.25,98,474,197968,960626,0,0
N674,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N676,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N673,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N672,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1510,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N1514,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1922,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1925,L2,L2,53568.75,345140.125,56,364,135912,780401,0,0
N382,L1,L1,53567.0,345113.625,55,365,135913,780400,0,0
N2307,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2300,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1450,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1457,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N835,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N85,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N86,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1637,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1638,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1205,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N1200,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N610,L2,L2,53567.25,345119.5,56,364,135912,780401,0,0
N1143,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N1029,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N2233,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2603,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N2238,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2600,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N1702,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2192,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2196,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N355,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N422,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2022,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N583,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N949,L2,L2,83897.375,439887.0,98,474,197968,960626,0,0
N948,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N586,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2517,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N2045,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2044,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2047,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N459,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N514,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N516,L2,L2,53567.25,345118.625,56,364,135912,780401,0,0
N519,L1,L2,53567.0,345113.625,55,365,135913,780400,0,0
N452,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2123,L2,L2,53567.25,345119.5,56,364,135912,780401,0,0
N456,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N635,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N637,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N636,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1696,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1804,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1801,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1967,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N502,L2,L1,49183.75,191990.625,52,150,125148,486044,0,0
N1411,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N2460,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N2340,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N393,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N504,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N644,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N9,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N646,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N647,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N640,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N641,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N642,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N643,L1,L1,49183.5,191990.875,51,151,125149,486043,0,0
N1,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1146,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N121,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N120,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N74,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1243,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N508,L1,L2,53568.25,345135.375,55,365,135913,780400,0,0
N71,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1568,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N848,L2,L2,83897.375,439882.75,98,474,197968,960626,0,0
N1560,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1565,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1564,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1341,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1347,L2,L2,49186.0,192006.625,52,150,125148,486044,0,0
N1066,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N207,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1743,L2,L2,83895.0,439861.5,98,474,197968,960626,0,0
N200,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1749,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1668,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N1980,L2,L2,83897.625,439891.5,98,474,197968,960626,0,0
N1664,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2311,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1660,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1663,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N1110,L2,L2,53567.5,345119.125,56,364,135912,780401,0,0
N546,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N545,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N980,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
N2496,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2167,L2,L2,53568.75,345134.875,56,364,135912,780401,0,0
N1185,L2,L2,83895.25,439866.0,98,474,197968,960626,0,0
N1186,L2,L2,49183.75,191990.625,52,150,125148,486044,0,0
N2246,L2,L2,53567.25,345113.375,56,364,135912,780401,0,0
